"country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","road_safety","road_safety_rating","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank","road_safety_rating_rank","population","population_decile","population_under_15","youth_population_group","population_over_65","older_population_group","gdp","gdp_decile","oecd","g7","g20","un_region","un_sub_region","un_development_status","who_region","iso_abbreviation","iso_membership","iec_membership"
"Afghanistan","Afghanistan",34.9214002371646,19.0883317551488,48.0795237945578,46.4030808449891,2597.76584,28.4507379625507,831.8815464,50.7535699381013,1045.018781,0,286.1044756,46.5242701384348,141.5772786,63.6021886014379,447.0774644,35.1339850371633,53.67289355,97.2101957238717,1069.883022,0,22.5434415,95.9527802033422,6495.524743,661.969562,16.5486828089005,-1.43,17.8082191780822,0.365,22.9080932784636,NULL,NULL,6,40,0.818181818,71.4285713836735,32.81,32.81,NULL,NULL,176,174,120,187,185,168,187,171,175,183,64,187,170,169,171,167,NULL,130,41,134,NULL,32247000,2,0.45,"40-45%",0.02,"1-4%",20038215159,6,NULL,NULL,NULL,"Asia","Southern Asia","Least Developed","Eastern Mediterrainian","AFG","Member body","Affiliate Country"
"Albania","Albania",55.6391614839082,46.5860298562118,44.615,82.8714868479203,564.9972171,90.629422337065,775.9649158,54.2890862801708,169.1526632,85.2759490609924,42.387168,95.3439416975267,41.00448121,89.7904628682163,295.2977611,59.5427089564846,18.52894411,99.4171606081055,307.9050339,71.6092150787323,0.303934236,99.9454347439888,2215.542119,4458.073207,47.6409702595348,-0.33,42.9223744292237,0.609,56.3786008230453,3.75,39.4021739130435,6,40,NULL,NULL,49.23,49.23,NULL,NULL,114,102,129,123,37,162,69,45,109,160,16,183,92,101,100,103,80,130,NULL,113,NULL,2892000,7,0.19,"15-19%",0.12,"10-14%",13211513726,7,NULL,NULL,NULL,"Europe","Southern Europe","Developed","European","ALB","Correspondent member","Associate Member"
"Algeria","Algeria",55.2806900439664,40.4803283080497,46.4216666666667,89.8991554109667,1180.474503,71.8030948010455,148.8943779,93.9377223046693,218.8364244,80.4386459582171,117.4153736,80.3148393693832,45.64123312,88.5830933420887,43.72395285,100,13.84074318,99.7115696027578,62.16009201,94.7038486155769,2.230355462,99.5995847049622,1833.217056,5504.181309,51.0773200982623,-0.6,36.7579908675799,0.643,61.042524005487,2.78,13.0434782608696,11,73.3333333333333,NULL,NULL,19.51,19.51,NULL,NULL,115,120,124,46,130,27,89,116,122,1,6,54,131,93,122,91,127,57,NULL,160,NULL,39948000,2,0.28,"25-29%",0.06,"5-9%",2.14e+11,3,NULL,NULL,NULL,"Africa","Northern Africa","Developing","Africa","DZA","Member body","Full Member"
"Andorra","Andorra",40.4722452995061,78.2167769871973,9.135,92.781935470898,278.1710539,99.4029114941943,794.4330965,53.1213736699417,22.60904943,99.5437069855178,32.84717309,97.2549238217261,6.545712101,98.7632240893515,85.23335194,93.3245918893245,30.53382463,98.6632797788522,59.39818262,94.9634075091738,0,100,1309.771444,42806.52255,84.5159753985201,1.53,85.3881278538813,0.67,64.7462277091907,NULL,NULL,0,0,NULL,NULL,18.27,18.27,NULL,NULL,162,25,186,17,5,165,6,28,10,16,29,51,1,20,15,77,NULL,173,NULL,166,NULL,78000,10,0.15,"15-19%",0.18,"15-19%",3249100675,9,NULL,NULL,NULL,"Europe","Southern Europe","Developed","European","AND","Non Member","Non Member"
"Angola","Angola",38.916790565108,36.665307377037,27.8833333333333,57.651555666085,1873.397982,50.6078294810972,350.0497097,81.2190023953673,845.0630538,19.4680603126773,495.5552723,4.56861584626444,148.5462509,61.7875293428089,431.8114143,37.589022134534,348.4863023,78.696543989216,164.1224109,85.1216274263185,1.081881233,99.8057700664812,4658.114277,5295.210896,50.4463421096894,-1.26,21.689497716895,0.474,37.8600823045267,NULL,NULL,4,26.6666666666667,NULL,NULL,29.1,29.1,NULL,NULL,167,129,172,185,173,114,184,184,176,180,183,166,120,94,164,139,NULL,145,NULL,140,NULL,2.5e+07,3,0.47,"45%+",0.02,"1-4%",1.38e+11,3,NULL,NULL,NULL,"Africa","Middle Africa","Least Developed","Africa","AGO","Correspondent member","Affiliate Country"
"Antigua-and-Barbuda","Antigua and Barbuda",69.4163423513664,64.3940498883608,58.0016666666667,89.556882271502,719.3688042,85.9074770637313,200.3753706,90.6826640323132,207.2692443,81.5648480579907,71.88486396,89.4351786199341,16.11159929,96.2723509724474,198.2927922,75.1427361880732,104.6906451,94.006390006599,70.62477793,93.9083538321506,5.057980753,99.0919416702789,1593.676078,13342.085,65.5114805180052,0.48,61.4155251141553,0.681,66.2551440329218,NULL,NULL,5,33.3333333333333,NULL,NULL,82.67,82.67,NULL,NULL,63,50,90,54,62,55,84,87,51,105,120,66,139,56,51,72,NULL,141,NULL,34,NULL,90000,10,0.24,"20-24%",0.08,"5-9%",1220976011,10,NULL,NULL,NULL,"Americas","Caribbean","Developing","Americas","ATG","Subscriber member","Affiliate Country"
"Argentina","Argentina",76.1292834570048,55.7206192147481,91.8422222222222,86.217794472284,852.8305655,81.8251252217884,347.0991122,81.405563809533,126.9528004,89.3846059405994,81.10684242,87.5878992290049,37.5433761,90.6917042798014,271.6309315,63.3487324048913,155.8189714,90.7956404314441,90.28758244,92.0604815586764,6.347706921,98.8603973748173,1969.617889,14623.47869,67.0064685795199,-0.29,43.8356164383562,0.783,80.2469135802469,3.47,31.7934782608696,13,86.6666666666667,1,100,88.86,88.86,NULL,NULL,39,74,20,92,90,113,56,98,104,148,157,106,145,50,98,34,95,38,1,16,NULL,42426000,2,0.24,"20-24%",0.11,"10-14%",5.38e+11,2,NULL,NULL,"Y","Americas","South America","Developing","Americas","ARG","Member body","Full Member"
"Armenia","Armenia",57.6290512081307,51.0898214700396,43.686507914059,85.7516909563591,855.5652595,81.7414759204507,567.0398417,67.4990741822069,219.0746966,80.4154473350749,98.40209341,84.12344083178,26.22968036,93.6376914124956,155.6704213,81.9971288470752,44.04898303,97.8145567278309,170.3215017,84.5390488829452,0.014735896,99.997354467373,2136.367213,3486.145636,43.6319500582447,0.07,52.0547945205479,0.701,68.9986282578875,3.76,39.6739130434783,7,46.6666666666667,0.727272727,57.1428570755102,27.25,27.25,NULL,NULL,106,88,132,98,93,148,90,106,80,75,50,169,44,113,71,59,79,110,44,146,NULL,3017106,7,0.19,"15-19%",0.11,"10-14%",11644438423,7,NULL,NULL,NULL,"Asia","Western Asia","Developing","European","ARM","Member body","Affiliate Country"
"Australia","Australia",93.196894927595,89.9529410336821,96.08,93.6603912206306,483.721891,93.1154863150686,398.7442534,78.1401266982153,60.40566137,95.8637587731479,34.26695475,96.9705235261156,12.86007204,97.1190201475992,131.795989,85.836538294262,43.05164808,97.8771872303083,26.85440931,98.0218082751071,0.005170585,99.9990717258511,1191.70605,67473.0338,91.9340591516034,1.62,87.4429223744292,0.927,100,5.26,80.4347826086956,15,100,1,100,88.24,88.24,NULL,NULL,5,8,12,10,28,125,27,31,30,53,49,10,34,5,10,1,17,1,1,28,NULL,23888000,3,0.19,"15-19%",0.15,"15-19%",1.45e+12,1,"Y",NULL,"Y","Oceania","Australia and New Zealand","Developed","Western Pacific","AUS","Member body","Full Member"
"Austria","Austria",91.3495228060883,83.8587506440571,100,90.9013768136735,412.3017618,95.3000977959259,896.178622,46.6881718786718,30.85513653,98.7408526574404,25.94965161,98.6365849624196,7.395253325,98.5420110063667,132.0887262,85.7894612388958,40.56396338,98.0334085105978,44.27863009,96.384313763585,0.013983699,99.9974895091584,1589.625729,50513.38542,87.2147593309759,1.57,86.3013698630137,0.794,81.7558299039781,5.25,80.1630434782609,15,100,NULL,NULL,100,100,NULL,NULL,12,17,1,39,18,173,11,11,11,54,44,29,42,12,14,31,18,1,NULL,1,NULL,8615955,5,0.14,"10-14%",0.18,"15-19%",4.37e+11,2,"Y",NULL,NULL,"Europe","Western Europe","Developed","European","AUT","Member body","Full Member"
